Price,FlightNumber,Date of Departure,Date of Arrival,Available seats,Arrival Airport code,Arrival Airport name,Departure Airport code,Departure Airport name,Flight Duration,Scraping date

127.99,FR 2923,2023-04-02T09:55:00.000,2023-04-02T12:50:00.000,4,AGP,Malaga,BRU,Brussels,02:55,2023-03-16 08:34:37

152.8,FR 2923,2023-04-03T17:40:00.000,2023-04-03T20:30:00.000,2,AGP,Malaga,BRU,Brussels,02:50,2023-03-16 08:34:37

183.29,FR 2923,2023-04-05T10:05:00.000,2023-04-05T13:00:00.000,2,AGP,Malaga,BRU,Brussels,02:55,2023-03-16 08:34:37

115.79,FR 2915,2023-04-03T20:25:00.000,2023-04-03T22:40:00.000,5,PMI,Mallorca,BRU,Brussels,02:15,2023-03-16 08:34:37

87.99,FR 2915,2023-04-05T17:25:00.000,2023-04-05T19:40:00.000,2,PMI,Mallorca,BRU,Brussels,02:15,2023-03-16 08:34:37

133.54,FR 2915,2023-04-07T11:00:00.000,2023-04-07T13:15:00.000,3,PMI,Mallorca,BRU,Brussels,02:15,2023-03-16 08:34:37

90.99,FR 6251,2023-04-02T17:00:00.000,2023-04-02T20:40:00.000,0,CFU,Corfu,CRL,Brussels (Charleroi),02:40,2023-03-16 08:34:38

358.81,FR 7986,2023-04-01T08:10:00.000,2023-04-01T12:35:00.000,0,HER,Heraklion Crete,CRL,Brussels (Charleroi),03:25,2023-03-16 08:34:38

156.69,FR 7986,2023-04-04T07:20:00.000,2023-04-04T11:45:00.000,0,HER,Heraklion Crete,CRL,Brussels (Charleroi),03:25,2023-03-16 08:34:38

154.99,FR 8577,2023-04-03T12:00:00.000,2023-04-03T16:35:00.000,0,RHO,Rhodes,CRL,Brussels (Charleroi),03:35,2023-03-16 08:34:38

129.33,FR 8577,2023-04-05T13:10:00.000,2023-04-05T17:45:00.000,1,RHO,Rhodes,CRL,Brussels (Charleroi),03:35,2023-03-16 08:34:38

76.99,FR 8577,2023-04-07T07:55:00.000,2023-04-07T12:30:00.000,0,RHO,Rhodes,CRL,Brussels (Charleroi),03:35,2023-03-16 08:34:38

70.99,FR 7737,2023-04-02T17:30:00.000,2023-04-02T19:55:00.000,1,BDS,Brindisi,CRL,Brussels (Charleroi),02:25,2023-03-16 08:34:38

