Price,FlightNumber,Date of Departure,Date of Arrival,Available seats,Arrival Airport code,Arrival Airport name,Departure Airport code,Departure Airport name,Flight Duration,Scraping date

219.99,TB 1941,2023-04-02T13:35,2023-04-02T15:50,10,FAO,Faro,BRU,Brussel,3u 15m,2023-03-16 10:18:16

129.99,TB 1111,2023-03-29T06:05,2023-03-29T08:50,10,ALC,Alicante,BRU,Brussel,2u 45m,2023-03-16 10:18:24

154.99,TB 1111,2023-03-30T06:05,2023-03-30T08:50,10,ALC,Alicante,BRU,Brussel,2u 45m,2023-03-16 10:18:24

139.99,TB 1419,2023-03-31T06:25,2023-03-31T10:40,10,ALC,Alicante,BRU,Brussel,4u 15m,2023-03-16 10:18:24

189.99,TB 1113,2023-03-31T13:15,2023-03-31T16:00,10,ALC,Alicante,BRU,Brussel,2u 45m,2023-03-16 10:18:24

244.99,TB 1135,2023-04-01T06:00,2023-04-01T08:45,10,ALC,Alicante,BRU,Brussel,2u 45m,2023-03-16 10:18:24

209.99,TB 1113,2023-04-01T17:00,2023-04-01T19:45,10,ALC,Alicante,BRU,Brussel,2u 45m,2023-03-16 10:18:24

179.99,TB 1111,2023-04-02T06:10,2023-04-02T08:55,10,ALC,Alicante,BRU,Brussel,2u 45m,2023-03-16 10:18:24

174.99,TB 1113,2023-04-02T16:45,2023-04-02T19:30,10,ALC,Alicante,BRU,Brussel,2u 45m,2023-03-16 10:18:24

159.99,TB 1111,2023-04-03T06:05,2023-04-03T08:50,10,ALC,Alicante,BRU,Brussel,2u 45m,2023-03-16 10:18:24

174.99,TB 1135,2023-04-04T06:15,2023-04-04T09:00,10,ALC,Alicante,BRU,Brussel,2u 45m,2023-03-16 10:18:24

164.99,TB 1417,2023-04-02T06:30,2023-04-02T10:40,10,IBZ,Ibiza,BRU,Brussel,4u 10m,2023-03-16 10:18:32

174.99,TB 1011,2023-03-29T06:05,2023-03-29T09:10,10,AGP,Malaga,BRU,Brussel,3u 5m,2023-03-16 10:18:41

234.99,TB 1013,2023-03-30T15:55,2023-03-30T19:00,10,AGP,Malaga,BRU,Brussel,3u 5m,2023-03-16 10:18:41

154.99,TB 1011,2023-03-31T06:00,2023-03-31T09:05,10,AGP,Malaga,BRU,Brussel,3u 5m,2023-03-16 10:18:41

294.99,TB 1011,2023-04-01T06:00,2023-04-01T09:05,8,AGP,Malaga,BRU,Brussel,3u 5m,2023-03-16 10:18:41

239.99,TB 1013,2023-04-01T14:25,2023-04-01T17:30,10,AGP,Malaga,BRU,Brussel,3u 5m,2023-03-16 10:18:41

199.99,TB 1011,2023-04-02T13:50,2023-04-02T16:55,10,AGP,Malaga,BRU,Brussel,3u 5m,2023-03-16 10:18:41

179.99,TB 1013,2023-04-02T15:25,2023-04-02T18:30,10,AGP,Malaga,BRU,Brussel,3u 5m,2023-03-16 10:18:41

169.99,TB 1011,2023-04-03T06:05,2023-04-03T09:10,10,AGP,Malaga,BRU,Brussel,3u 5m,2023-03-16 10:18:41

169.99,TB 1013,2023-04-03T06:20,2023-04-03T09:25,10,AGP,Malaga,BRU,Brussel,3u 5m,2023-03-16 10:18:41

159.99,TB 1011,2023-04-04T06:15,2023-04-04T09:20,10,AGP,Malaga,BRU,Brussel,3u 5m,2023-03-16 10:18:41

184.99,TB 1013,2023-04-04T16:00,2023-04-04T19:05,10,AGP,Malaga,BRU,Brussel,3u 5m,2023-03-16 10:18:41

129.99,TB 1419,2023-03-31T06:25,2023-03-31T08:55,10,PMI,Palma de Mallorca,BRU,Brussel,2u 30m,2023-03-16 10:18:49

199.99,TB 1417,2023-04-02T06:30,2023-04-02T09:05,10,PMI,Palma de Mallorca,BRU,Brussel,2u 35m,2023-03-16 10:18:49

174.99,TB 1413,2023-04-04T06:00,2023-04-04T08:35,10,PMI,Palma de Mallorca,BRU,Brussel,2u 35m,2023-03-16 10:18:49

159.99,TB 1763,2023-03-29T07:00,2023-03-29T11:00,10,TFS,Tenerife,BRU,Brussel,5u 0m,2023-03-16 10:18:57

109.99,TB 1751,2023-03-30T06:05,2023-03-30T10:05,10,TFS,Tenerife,BRU,Brussel,5u 0m,2023-03-16 10:18:57

229.99,TB 1751,2023-03-31T06:05,2023-03-31T10:05,10,TFS,Tenerife,BRU,Brussel,5u 0m,2023-03-16 10:18:57

129.99,TB 1753,2023-03-31T13:35,2023-03-31T17:35,10,TFS,Tenerife,BRU,Brussel,5u 0m,2023-03-16 10:18:57

689.99,TB 1753,2023-04-01T08:00,2023-04-01T12:00,1,TFS,Tenerife,BRU,Brussel,5u 0m,2023-03-16 10:18:57

269.99,TB 1755,2023-04-01T16:20,2023-04-01T20:20,10,TFS,Tenerife,BRU,Brussel,5u 0m,2023-03-16 10:18:57

249.99,TB 1753,2023-04-02T14:10,2023-04-02T18:10,10,TFS,Tenerife,BRU,Brussel,5u 0m,2023-03-16 10:18:57

399.99,TB 1751,2023-04-03T06:10,2023-04-03T10:10,10,TFS,Tenerife,BRU,Brussel,5u 0m,2023-03-16 10:18:57

254.99,TB 1753,2023-04-04T06:05,2023-04-04T10:05,10,TFS,Tenerife,BRU,Brussel,5u 0m,2023-03-16 10:18:57

219.99,TB 1941,2023-04-09T13:35,2023-04-09T15:50,10,FAO,Faro,BRU,Brussel,3u 15m,2023-03-16 10:19:53

129.99,TB 1111,2023-04-05T06:05,2023-04-05T08:50,10,ALC,Alicante,BRU,Brussel,2u 45m,2023-03-16 10:20:01

129.99,TB 1113,2023-04-05T06:10,2023-04-05T08:55,10,ALC,Alicante,BRU,Brussel,2u 45m,2023-03-16 10:20:01

134.99,TB 1111,2023-04-06T06:05,2023-04-06T08:50,10,ALC,Alicante,BRU,Brussel,2u 45m,2023-03-16 10:20:01

134.99,TB 1113,2023-04-06T16:25,2023-04-06T19:10,10,ALC,Alicante,BRU,Brussel,2u 45m,2023-03-16 10:20:01

219.99,TB 1419,2023-04-07T06:20,2023-04-07T10:40,10,ALC,Alicante,BRU,Brussel,4u 20m,2023-03-16 10:20:01

149.99,TB 1113,2023-04-07T13:15,2023-04-07T16:00,10,ALC,Alicante,BRU,Brussel,2u 45m,2023-03-16 10:20:01

229.99,TB 1135,2023-04-08T06:00,2023-04-08T08:45,10,ALC,Alicante,BRU,Brussel,2u 45m,2023-03-16 10:20:01

129.99,TB 1113,2023-04-08T17:00,2023-04-08T19:45,10,ALC,Alicante,BRU,Brussel,2u 45m,2023-03-16 10:20:01

129.99,TB 1111,2023-04-09T06:10,2023-04-09T08:55,10,ALC,Alicante,BRU,Brussel,2u 45m,2023-03-16 10:20:01

129.99,TB 1113,2023-04-09T16:30,2023-04-09T19:15,10,ALC,Alicante,BRU,Brussel,2u 45m,2023-03-16 10:20:01

129.99,TB 1111,2023-04-10T06:05,2023-04-10T08:50,10,ALC,Alicante,BRU,Brussel,2u 45m,2023-03-16 10:20:01

169.99,TB 1135,2023-04-11T06:15,2023-04-11T09:00,10,ALC,Alicante,BRU,Brussel,2u 45m,2023-03-16 10:20:01

239.99,TB 1417,2023-04-06T06:20,2023-04-06T10:30,10,IBZ,Ibiza,BRU,Brussel,4u 10m,2023-03-16 10:20:09

269.99,TB 1417,2023-04-09T06:30,2023-04-09T10:40,10,IBZ,Ibiza,BRU,Brussel,4u 10m,2023-03-16 10:20:09

134.99,TB 1011,2023-04-05T06:05,2023-04-05T09:10,10,AGP,Malaga,BRU,Brussel,3u 5m,2023-03-16 10:20:18

184.99,TB 1027,2023-04-06T06:05,2023-04-06T09:10,10,AGP,Malaga,BRU,Brussel,3u 5m,2023-03-16 10:20:18

189.99,TB 1013,2023-04-06T15:55,2023-04-06T19:00,10,AGP,Malaga,BRU,Brussel,3u 5m,2023-03-16 10:20:18

169.99,TB 1011,2023-04-07T06:00,2023-04-07T09:05,10,AGP,Malaga,BRU,Brussel,3u 5m,2023-03-16 10:20:18

259.99,TB 1011,2023-04-08T06:00,2023-04-08T09:05,10,AGP,Malaga,BRU,Brussel,3u 5m,2023-03-16 10:20:18

219.99,TB 1013,2023-04-08T14:25,2023-04-08T17:30,10,AGP,Malaga,BRU,Brussel,3u 5m,2023-03-16 10:20:18

259.99,TB 1011,2023-04-09T13:50,2023-04-09T16:55,10,AGP,Malaga,BRU,Brussel,3u 5m,2023-03-16 10:20:18

179.99,TB 1013,2023-04-09T15:25,2023-04-09T18:30,10,AGP,Malaga,BRU,Brussel,3u 5m,2023-03-16 10:20:18

154.99,TB 1011,2023-04-10T06:05,2023-04-10T09:10,10,AGP,Malaga,BRU,Brussel,3u 5m,2023-03-16 10:20:18

149.99,TB 1013,2023-04-10T06:20,2023-04-10T09:25,10,AGP,Malaga,BRU,Brussel,3u 5m,2023-03-16 10:20:18

